                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7231,                 2.6419,                 1.3734,                0.35181,                0.17158,                0.22742,                0.13746,                 1.2545,                 2.9617,                 1.1094,             0.00046575,             0.00046575,             0.00046575
                      2,                 1.3969,                 1.5633,                 1.1308,                0.55847,                0.47812,                0.50748,                0.29316,                 1.2732,                 2.0137,                 1.1758,             0.00093742,             0.00093742,             0.00093742
                      3,                 1.3203,                 1.3219,                 1.1034,                0.41242,                0.56822,                0.42167,                 0.2585,                 1.2666,                 2.1012,                 1.2347,              0.0014044,              0.0014044,              0.0014044
                      4,                 1.2778,                 1.2664,                 1.1052,                0.61706,                 0.6118,                0.62443,                0.37729,                  1.249,                 1.2658,                 1.1998,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.2892,                 1.1082,                  1.065,                0.68237,                0.57138,                0.60607,                0.34409,                 1.3354,                 1.2907,                 1.2538,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.2775,                 1.0695,                 1.0858,                0.68886,                0.63529,                0.67303,                0.42171,                 1.1421,                 1.0494,                 1.1407,              0.0013936,              0.0013936,              0.0013936
                      7,                 1.2619,                  1.018,                 1.0665,                0.74098,                 0.6887,                0.73927,                0.43805,                 1.2149,                0.98487,                 1.1541,              0.0013866,              0.0013866,              0.0013866
                      8,                 1.2255,                0.96755,                 1.0725,                0.74442,                0.61333,                0.67912,                0.42815,                 1.2072,                 1.0833,                 1.1885,              0.0013795,              0.0013795,              0.0013795
                      9,                 1.2198,                0.92913,                 1.0558,                0.74056,                0.67726,                0.71579,                0.44195,                  1.192,                 1.0373,                 1.1503,              0.0013724,              0.0013724,              0.0013724
                     10,                 1.2104,                0.90138,                 1.0464,                0.82285,                0.70857,                 0.7775,                0.46303,                 1.1644,                0.87275,                 1.1332,              0.0013653,              0.0013653,              0.0013653
                     11,                 1.2264,                0.86491,                 1.0564,                0.79328,                0.68017,                0.77307,                0.46735,                 1.2056,                0.89087,                 1.1704,              0.0013583,              0.0013583,              0.0013583
                     12,                 1.2261,                0.85117,                 1.0373,                0.80363,                0.73954,                0.80718,                0.50653,                 1.1592,                0.84082,                 1.1452,              0.0013512,              0.0013512,              0.0013512
                     13,                  1.196,                0.85163,                 1.0273,                 0.8641,                0.69872,                0.81064,                0.52313,                 1.1198,                0.77669,                 1.0961,              0.0013441,              0.0013441,              0.0013441
                     14,                 1.1947,                 0.8212,                 1.0366,                 0.8382,                0.70658,                 0.7945,                0.48332,                 1.2101,                0.84584,                 1.1479,               0.001337,               0.001337,               0.001337
                     15,                 1.1772,                0.78654,                 1.0395,                0.84195,                0.73702,                0.82843,                0.53721,                 1.0888,                0.74073,                 1.1147,                0.00133,                0.00133,                0.00133
                     16,                 1.1798,                0.80401,                 1.0462,                0.82411,                0.76793,                0.81694,                0.50653,                 1.1892,                0.78011,                 1.1257,              0.0013229,              0.0013229,              0.0013229
                     17,                 1.1745,                0.78364,                 1.0397,                0.80877,                0.75303,                0.81266,                0.51179,                 1.1208,                0.76403,                 1.1217,              0.0013158,              0.0013158,              0.0013158
                     18,                 1.1689,                0.77483,                 1.0341,                0.84254,                0.77747,                0.82305,                0.52096,                 1.1606,                0.74934,                 1.1297,              0.0013087,              0.0013087,              0.0013087
