                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7109,                 2.0076,                 1.3152,                0.01981,                 0.1222,                0.10038,                0.06723,                 1.2774,                 2.0109,                 1.0986,             0.00046551,             0.00046551,             0.00046551
                      2,                 1.3288,                 1.1366,                 1.0832,                0.71247,                0.06938,                0.09947,                0.06149,                 1.3378,                 1.3916,                 1.1715,             0.00092319,             0.00092319,             0.00092319
                      3,                 1.2917,                0.97448,                 1.0719,                0.63158,                0.09279,                0.09884,                0.06866,                 1.2044,                 1.0302,                 1.0906,               0.001362,               0.001362,               0.001362
                      4,                 1.2846,                0.92777,                  1.055,                0.59647,                0.08912,                0.10323,                0.06747,                 1.2321,                0.92149,                 1.1456,              0.0013441,              0.0013441,              0.0013441
                      5,                  1.273,                0.84658,                 1.0326,                0.52504,                0.07474,                0.08363,                0.06028,                 1.2069,                0.98315,                 1.0888,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.2104,                0.79589,                 1.0269,                0.63996,                0.06707,                0.07351,                0.05038,                 1.2001,                0.75728,                 1.0618,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2239,                0.78532,                 1.0249,                0.66215,                0.06202,                0.07727,                0.05512,                 1.1523,                0.79904,                 1.0494,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.1799,                0.73881,                 1.0212,                 0.5462,                0.07075,                0.08688,                0.06146,                  1.137,                0.68125,                 1.0381,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2059,                0.71297,                  1.012,                0.64628,                0.06707,                0.09428,                0.06764,                 1.1181,                0.66991,                 1.0303,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.1738,                0.66173,                 1.0104,                0.69774,                0.04548,                0.07136,                0.05063,                 1.0984,                 0.6877,                 1.0181,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.1697,                0.64914,                 1.0112,                0.60698,                0.05237,                0.08038,                0.05646,                 1.1414,                0.67488,                 1.0235,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.1446,                0.64592,                0.99915,                 0.6494,                 0.1314,                0.14419,                0.09825,                 1.0911,                0.67805,                 1.0981,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1266,                0.60853,                0.99833,                0.71826,                0.10795,                0.12839,                0.08735,                 1.1287,                0.63066,                 1.0759,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.0964,                 0.5893,                 0.9996,                0.74843,                 0.0859,                0.10982,                0.07798,                 1.0962,                0.62149,                  1.043,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.0948,                0.58242,                0.98992,                0.72714,                0.09831,                0.14953,                0.10375,                  1.125,                0.60697,                  1.077,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1007,                0.56648,                0.97875,                0.72963,                0.06523,                0.15139,                0.11385,                 1.1125,                0.58662,                 1.0794,              0.0010046,              0.0010046,              0.0010046
                     17,                   1.07,                0.54596,                   0.98,                0.77842,                0.08667,                 0.1416,                0.09358,                 1.0788,                0.61225,                 1.0342,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.0681,                0.54154,                0.97418,                0.84595,                0.07141,                0.13756,                0.09951,                 1.0691,                 0.5396,                  1.024,               0.000948,               0.000948,               0.000948
